,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
7013,1447.5,1388.5,1450.0,1579.0,1906.5,2146.0,2346.5,2341.0,2565.0,2948.0,2421.0
7014,1368.0,1401.5,1527.5,1669.5,1821.5,2155.0,2393.0,2766.5,2626.5,2764.0,2251.5
7015,1368.0,1366.0,1493.0,1590.0,1872.5,2582.0,2814.0,2911.5,3151.0,2799.5,2153.0
7016,1371.5,1394.0,1562.0,1623.0,2050.0,2554.5,2788.5,3040.0,3043.5,2862.0,2220.5
7017,1371.5,1430.0,1600.5,1713.0,1944.5,2345.5,2496.0,2821.0,2778.0,2810.0,2223.0
7018,1415.5,1380.0,1462.5,1572.0,1880.0,2287.5,2557.5,2664.0,2841.5,2952.0,2321.0
7019,1415.5,1511.0,1729.0,1878.5,2112.0,2463.0,2781.0,3279.0,3006.0,2904.0,2352.0
7020,1386.0,1481.5,1760.5,1938.0,2077.5,2677.5,2918.0,3678.0,3134.5,2618.5,2126.5
7021,1386.0,1614.0,1675.5,1702.5,1905.0,2401.0,2528.5,2463.0,2721.5,2294.0,1933.0
7022,1388.0,1456.5,1628.5,1716.0,2045.5,2823.5,2976.0,3659.5,3483.5,2837.0,2225.5
