,Longitude,Latitude,Natural Elevation
520,-74.231,40.537,87.589
521,-74.231,40.538,81.962
522,-74.231,40.545,57.742
523,-74.231,40.546,54.209
524,-74.23,40.503,12.828
525,-74.23,40.504,17.224
526,-74.23,40.505,25.621
527,-74.23,40.507,39.711
528,-74.23,40.508,43.859
529,-74.23,40.509,44.667
530,-74.23,40.51,55.695
531,-74.23,40.511,58.98
532,-74.23,40.519,11.173
533,-74.23,40.52,9.788
534,-74.23,40.521,48.206
535,-74.23,40.522,66.658
536,-74.23,40.523,77.48349999999999
537,-74.23,40.524,78.2805
538,-74.23,40.527,82.2115
539,-74.23,40.536,0.0
540,-74.23,40.537,95.866
541,-74.23,40.542,0.0
542,-74.23,40.547,26.478
543,-74.229,40.503,11.443999999999999
544,-74.229,40.504,19.89
545,-74.229,40.505,26.718
546,-74.229,40.506,34.052
547,-74.229,40.507,43.7745
548,-74.229,40.508,41.978
549,-74.229,40.509,44.138
550,-74.229,40.521,50.7735
551,-74.229,40.522,64.60849999999999
552,-74.229,40.523,64.871
553,-74.229,40.524,70.12
554,-74.229,40.525,72.546
555,-74.229,40.53,92.596
556,-74.229,40.536,59.336
557,-74.229,40.537,107.0375
558,-74.229,40.546,61.162
559,-74.229,40.547,50.95
560,-74.229,40.552,50.776
561,-74.228,40.507,0.0
562,-74.228,40.508,45.949
563,-74.228,40.509,38.0835
564,-74.228,40.52,4.012
565,-74.228,40.521,52.502
566,-74.228,40.522,0.0
567,-74.228,40.524,62.001999999999995
568,-74.228,40.525,61.215500000000006
569,-74.228,40.529,83.223
570,-74.228,40.531,76.983
571,-74.228,40.546,60.415
572,-74.228,40.547,56.265
573,-74.227,40.507,0.0
574,-74.227,40.508,46.052
575,-74.227,40.519,9.123
576,-74.227,40.52,0.0
577,-74.227,40.524,43.9565
578,-74.227,40.525,52.913
579,-74.227,40.536,109.228
580,-74.227,40.537,114.925
581,-74.227,40.547,60.795
582,-74.226,40.508,0.0
583,-74.226,40.511,0.0
584,-74.226,40.512,51.2775
585,-74.226,40.518,33.955
586,-74.226,40.519,14.9205
587,-74.226,40.537,62.152
588,-74.226,40.538,0.0
589,-74.225,40.506,20.6315
590,-74.225,40.507,24.185
591,-74.225,40.51,39.805
592,-74.225,40.511,48.462
593,-74.225,40.512,50.022
594,-74.225,40.519,23.8795
595,-74.225,40.533,105.785
596,-74.225,40.548,60.6695
597,-74.224,40.505,3.395
598,-74.224,40.506,10.462
599,-74.224,40.507,13.243500000000001
600,-74.224,40.508,21.938
601,-74.224,40.509,31.289
602,-74.224,40.51,34.2025
603,-74.224,40.511,42.223
604,-74.224,40.518,28.429
605,-74.224,40.521,34.153
606,-74.224,40.522,31.89
607,-74.224,40.523,49.398
608,-74.224,40.538,118.32
609,-74.224,40.548,74.549
610,-74.223,40.506,6.441
611,-74.223,40.508,27.005
612,-74.223,40.51,15.829
613,-74.223,40.511,35.8965
614,-74.223,40.513,0.0
615,-74.223,40.521,30.494
616,-74.223,40.522,39.448
617,-74.223,40.523,43.9105
618,-74.223,40.524,42.972
619,-74.223,40.531,85.733
620,-74.223,40.532,98.86
621,-74.223,40.533,107.4915
622,-74.223,40.535,97.103
623,-74.223,40.536,100.4865
624,-74.223,40.537,106.878
625,-74.223,40.538,119.0685
626,-74.223,40.539,115.4975
627,-74.223,40.54,109.668
628,-74.223,40.541,103.909
629,-74.223,40.542,94.46
630,-74.223,40.547,75.653
631,-74.223,40.549,51.56
632,-74.222,40.51,30.363500000000002
633,-74.222,40.511,44.379
634,-74.222,40.512,44.9195
635,-74.222,40.513,21.587
636,-74.222,40.519,27.396
637,-74.222,40.521,29.4205
638,-74.222,40.522,29.442
639,-74.222,40.523,34.783
640,-74.222,40.524,44.202
641,-74.222,40.525,50.1005
642,-74.222,40.53,98.679
643,-74.222,40.531,93.4525
644,-74.222,40.532,95.134
645,-74.222,40.533,105.5385
646,-74.222,40.535,92.072
647,-74.222,40.536,92.12
648,-74.222,40.537,98.87
649,-74.222,40.538,116.96
650,-74.222,40.539,118.006
651,-74.222,40.54,114.617
652,-74.222,40.541,112.1165
653,-74.222,40.542,107.295
654,-74.222,40.545,0.0
655,-74.222,40.549,58.611000000000004
656,-74.221,40.512,44.035
657,-74.221,40.519,31.164
658,-74.221,40.52,32.81
659,-74.221,40.522,30.677
660,-74.221,40.523,34.134
661,-74.221,40.524,46.755
662,-74.221,40.525,56.54
663,-74.221,40.529,100.175
664,-74.221,40.53,102.838
665,-74.221,40.531,104.756
666,-74.221,40.532,103.262
667,-74.221,40.533,108.291
668,-74.221,40.537,98.92500000000001
669,-74.221,40.538,113.555
670,-74.221,40.539,113.605
671,-74.221,40.54,115.99449999999999
672,-74.221,40.541,114.033
673,-74.221,40.542,115.199
674,-74.221,40.543,110.894
675,-74.221,40.544,0.0
676,-74.221,40.545,0.0
677,-74.221,40.546,104.351
678,-74.221,40.547,103.973
679,-74.221,40.549,65.171
680,-74.221,40.55,46.4705
681,-74.221,40.551,31.565
682,-74.221,40.552,0.0
683,-74.22,40.503,0.0
684,-74.22,40.51,26.837
685,-74.22,40.511,30.111
686,-74.22,40.512,42.918
687,-74.22,40.519,38.356
688,-74.22,40.52,34.206
689,-74.22,40.522,35.72
690,-74.22,40.523,40.642
691,-74.22,40.524,51.606
692,-74.22,40.525,60.792500000000004
693,-74.22,40.526,62.99250000000001
694,-74.22,40.529,88.454
695,-74.22,40.53,101.677
696,-74.22,40.531,105.941
697,-74.22,40.532,103.3445
698,-74.22,40.534,86.903
699,-74.22,40.535,91.482
700,-74.22,40.536,93.388
701,-74.22,40.537,98.81450000000001
702,-74.22,40.538,112.052
703,-74.22,40.539,0.0
704,-74.22,40.54,117.898
705,-74.22,40.541,124.9485
706,-74.22,40.542,121.61
707,-74.22,40.543,113.373
708,-74.22,40.544,105.7265
709,-74.22,40.545,108.451
710,-74.22,40.546,105.279
711,-74.22,40.547,98.488
712,-74.22,40.548,87.054
713,-74.22,40.551,0.0
714,-74.22,40.552,31.131
715,-74.219,40.512,39.954
716,-74.219,40.52,32.013
717,-74.219,40.521,29.52
718,-74.219,40.523,47.701499999999996
719,-74.219,40.524,57.447
720,-74.219,40.525,67.891
721,-74.219,40.526,71.541
722,-74.219,40.527,68.018
723,-74.219,40.529,84.836
724,-74.219,40.53,94.136
725,-74.219,40.531,98.93
726,-74.219,40.532,95.079
727,-74.219,40.534,82.517
728,-74.219,40.535,91.98150000000001
729,-74.219,40.536,98.97149999999999
730,-74.219,40.537,102.698
731,-74.219,40.538,110.065
732,-74.219,40.539,115.083
733,-74.219,40.54,126.908
734,-74.219,40.541,135.089
735,-74.219,40.542,122.608
736,-74.219,40.543,114.425
737,-74.219,40.544,111.4125
738,-74.219,40.545,110.529
739,-74.219,40.546,104.429
740,-74.219,40.547,97.287
741,-74.219,40.548,85.916
742,-74.219,40.549,72.472
743,-74.219,40.552,22.829
744,-74.219,40.553,8.9775
745,-74.219,40.554,0.0
746,-74.218,40.511,32.545
747,-74.218,40.513,48.985
748,-74.218,40.52,32.05
749,-74.218,40.521,27.14
750,-74.218,40.522,0.0
751,-74.218,40.523,41.185
752,-74.218,40.524,55.579499999999996
753,-74.218,40.525,77.3925
754,-74.218,40.526,77.69999999999999
755,-74.218,40.527,80.542
756,-74.218,40.529,88.02250000000001
757,-74.218,40.53,93.80449999999999
758,-74.218,40.531,93.531
759,-74.218,40.532,86.18
760,-74.218,40.535,86.7315
761,-74.218,40.536,98.56700000000001
762,-74.218,40.537,100.37950000000001
763,-74.218,40.538,106.0625
764,-74.218,40.539,119.238
765,-74.218,40.54,133.392
766,-74.218,40.541,132.944
767,-74.218,40.542,126.241
768,-74.218,40.543,115.251
769,-74.218,40.544,117.0435
770,-74.218,40.545,111.846
